Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Chenoweth D.A., Schlaepfer D.R., Chambers J.C., Brown J.L., Urza A.K., Hanberry B., Board D., Crist M., Bradford J.B.",Ecologically relevant moisture and temperature metrics for assessing dryland ecosystem dynamics,2022,Ecohydrology,,,,,,1,10.1002/eco.2509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143124373&doi=10.1002%2feco.2509&partnerID=40&md5=1ad4cfa0cd4385baeef3b0160b30f9ab,"In drylands, water-limited regions that cover ~40% of the global land surface, ecosystems are primarily controlled by access to soil moisture and exposure to simultaneously hot and dry conditions. Quantifying ecologically relevant environmental metrics is difficult in drylands because the response of vegetation to moisture and temperature conditions is not easily explained solely by climate-based metrics. To address this knowledge gap, we developed and examined 27 climate and ecological drought metrics across dryland areas of the western United States. Included in the 27 metrics is a suite of 19 largely new “ecological drought metrics” that are designed to quantify multiple aspects of environmental limitation in drylands, including overall growing conditions, seasonal fluctuations, seasonal moisture timing, exposure to extreme drought and recruitment potential for perennial plants. To quantify these metrics, we simulated water balance pools and fluxes of daily soil moisture at multiple depths with historical weather from 1970 to 2010 using the SOILWAT2 ecosystem water balance model. We assessed the relationships among these metrics and their spatial and temporal patterns. We found that the inclusion of ecological drought metrics substantially increased the dimensionality of the climate metrics dataset; the number of independent variables needed to explain 90% of the variance in the dataset increased with the addition of ecological drought metrics. Spatial patterns in overall growing conditions represented well-known differences among ecoregions, for example, high temperatures and low precipitation in the southwest and cool temperatures and greater precipitation in the northeast. Seasonal fluctuation in soil water availability (SWA) was greatest in the southwest (Mojave Desert), whereas fluctuation in climatic water deficit (CWD) was greatest in the northwest (northern Great Basin and Columbia Plateau). Seasonal timing of moisture also differed among metrics; the timing of wet degree days (WDD), the timing of SWA and the timing of CWD were only weakly related to seasonal timing of precipitation. Plant recruitment metrics varied strongly across western drylands. In the Great Plains, recruitment events occurred more frequently and lasted longer than in the intermountain regions, where recruitment events were comparatively rare and short. These ecological drought metrics provide new insight into patterns of soil moisture and temperature that shape the structure and function of dryland ecosystems. The metrics will be useful for assessing the potential impact of climate change on dryland ecosystems and developing adaptive resource management strategies to sustain dryland ecosystem services in a changing world. © 2022 John Wiley & Sons Ltd. This article has been contributed to by U.S. Government employees and their work is in the public domain in the USA.",dryland vegetation; ecological drought; hot drought; plant recruitment; soil moisture,Climate change; Drought; Ecosystems; Vegetation; %moisture; Dry land; Dryland vegetation; Ecological drought; Growing conditions; Hot drought; Plant recruitment; Seasonal fluctuations; Soil water availability; Water deficits; Soil moisture
"Clark D.A., Asao S., Fisher R., Reed S., Reich P.B., Ryan M.G., Wood T.E., Yang X.",Reviews and syntheses: Field data to benchmark the carbon cycle models for tropical forests,2017,Biogeosciences,14,20,,4663,4690,22,10.5194/bg-14-4663-2017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032291986&doi=10.5194%2fbg-14-4663-2017&partnerID=40&md5=be5c92c9f7136156857333cb0316ce1c,"For more accurate projections of both the global carbon (C) cycle and the changing climate, a critical current need is to improve the representation of tropical forests in Earth system models. Tropical forests exchange more C, energy, and water with the atmosphere than any other class of land ecosystems. Further, tropical-forest C cycling is likely responding to the rapid global warming, intensifying water stress, and increasing atmospheric CO2 levels. Projections of the future C balance of the tropics vary widely among global models. A current effort of the modeling community, the ILAMB (International Land Model Benchmarking) project, is to compile robust observations that can be used to improve the accuracy and realism of the land models for all major biomes. Our goal with this paper is to identify field observations of tropical-forest ecosystem C stocks and fluxes, and of their long-term trends and climatic and CO2 sensitivities, that can serve this effort. We propose criteria for reference-level field data from this biome and present a set of documented examples from old-growth lowland tropical forests. We offer these as a starting point towards the goal of a regularly updated consensus set of benchmark field observations of C cycling in tropical forests. © 2017 Author(s). This work is distributed under the Creative Commons Attribution 3.0 License.",,benchmarking; carbon balance; carbon cycle; carbon dioxide; carbon flux; climate change; forest ecosystem; global climate; global warming; old-growth forest; tropical forest; water stress
"Cleveland C.C., Reis C.R.G., Perakis S.S., Dynarski K.A., Batterman S.A., Crews T.E., Gei M., Gundale M.J., Menge D.N.L., Peoples M.B., Reed S.C., Salmon V.G., Soper F.M., Taylor B.N., Turner M.G., Wurzburger N.",Exploring the Role of Cryptic Nitrogen Fixers in Terrestrial Ecosystems: A Frontier in Nitrogen Cycling Research,2022,Ecosystems,25,8,,1653,1669,2,10.1007/s10021-022-00804-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141975983&doi=10.1007%2fs10021-022-00804-2&partnerID=40&md5=53f25e5ad521ae8ebb475fa54496f5c2,"Biological nitrogen fixation represents the largest natural flux of new nitrogen (N) into terrestrial ecosystems, providing a critical N source to support net primary productivity of both natural and agricultural systems. When they are common, symbiotic associations between plants and bacteria can add more than 100 kg N ha?1 y?1 to ecosystems. Yet, these associations are uncommon in many terrestrial ecosystems. In most cases, N inputs derive from more cryptic sources, including mutualistic and/or free-living microorganisms in soil, plant litter, decomposing roots and wood, lichens, insects, and mosses, among others. Unfortunately, large gaps remain in the understanding of cryptic N fixation. We conducted a literature review to explore rates, patterns, and controls of cryptic N fixation in both unmanaged and agricultural ecosystems. Our analysis indicates that, as is common with N fixation, rates are highly variable across most cryptic niches, with N inputs in any particular cryptic niche ranging from near zero to more than 20 kg ha?1 y?1. Such large variation underscores the need for more comprehensive measurements of N fixation by organisms not in symbiotic relationships with vascular plants in terrestrial ecosystems, as well as identifying the factors that govern cryptic N fixation rates. We highlight several challenges, opportunities, and priorities in this important research area, and we propose a conceptual model that posits an interacting hierarchy of biophysical and biogeochemical controls over N fixation that should generate valuable new hypotheses and research. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",agriculture; asymbiotic; free-living; global change; N2 fixation; nitrogen cycle; symbiotic; terrestrial ecosystems,agriculture; global change; nitrogen cycle; nitrogen fixation; symbiosis; terrestrial ecosystem
"Dietze M.C., Fox A., Beck-Johnson L.M., Betancourt J.L., Hooten M.B., Jarnevich C.S., Keitt T.H., Kenney M.A., Laney C.M., Larsen L.G., Loescher H.W., Lunch C.K., Pijanowski B.C., Randerson J.T., Read E.K., Tredennick A.T., Vargas R., Weathers K.C., White E.P.","Iterative near-term ecological forecasting: Needs, opportunities, and challenges",2018,Proceedings of the National Academy of Sciences of the United States of America,115,7,,1424,1432,283,10.1073/pnas.1710231115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041796003&doi=10.1073%2fpnas.1710231115&partnerID=40&md5=e0f046dee94a9a745385b108b0f97b98,"Two foundational questions about sustainability are “How are ecosystems and the services they provide going to change in the future?” and “How do human decisions affect these trajectories?” Answering these questions requires an ability to forecast ecological processes. Unfortunately, most ecological forecasts focus on centennial-scale climate responses, therefore neither meeting the needs of near-term (daily to decadal) environmental decision-making nor allowing comparison of specific, quantitative predictions to new observational data, one of the strongest tests of scientific theory. Near-term forecasts provide the opportunity to iteratively cycle between performing analyses and updating predictions in light of new evidence. This iterative process of gaining feedback, building experience, and correcting models and methods is critical for improving forecasts. Iterative, near-term forecasting will accelerate ecological research, make it more relevant to society, and inform sustainable decision-making under high uncertainty and adaptive management. Here, we identify the immediate scientific and societal needs, opportunities, and challenges for iterative near-term ecological forecasting. Over the past decade, data volume, variety, and accessibility have greatly increased, but challenges remain in interoperability, latency, and uncertainty quantification. Similarly, ecologists have made considerable advances in applying computational, informatic, and statistical methods, but opportunities exist for improving forecast-specific theory, methods, and cyberinfrastructure. Effective forecasting will also require changes in scientific training, culture, and institutions. The need to start forecasting is now; the time for making ecology more predictive is here, and learning by doing is the fastest route to drive the science forward. © 2018 National Academy of Sciences. All Rights Reserved.",ecology; Forecast; prediction,"adaptive environmental management; appropriate technology; Article; biological variation; cataloging database; constructive feedback; controlled vocabulary; cultural anthropology; cyberinfrastructure; data interoperability; decision making; decision support system; ecology; forecasting; futurology; human; information science; information technology; iterative forecasting; learning; limit of quantitation; mathematical computing; predictive value; priority journal; public-private partnership; reproducibility; science; scientific literature; social norm; statistical analysis; statistical model; study skills; sustainable development; training; uncertainty; volume; Bayes theorem; climate change; ecology; ecosystem; education; forecasting; procedures; theoretical model; trends; Bayes Theorem; Climate Change; Ecology; Ecosystem; Forecasting; Humans; Models, Theoretical"
"Diffendorfer J.E., Loomis J.B., Ries L., Oberhauser K., Lopez-Hoffman L., Semmens D., Semmens B., Butterfield B., Bagstad K., Goldstein J., Wiederholt R., Mattsson B., Thogmartin W.E.",National valuation of monarch butterflies indicates an untapped potential for incentive-based conservation,2014,Conservation Letters,7,3,,253,262,54,10.1111/conl.12065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901657760&doi=10.1111%2fconl.12065&partnerID=40&md5=1603010a7490460a99e4b765b6b963fb,"The annual migration of monarch butterflies (Danaus plexippus) has high cultural value and recent surveys indicate monarch populations are declining. Protecting migratory species is complex because they cross international borders and depend on multiple regions. Understanding how much, and where, humans place value on migratory species can facilitate market-based conservation approaches. We performed a contingent valuation study of monarchs to understand the potential for such approaches to fund monarch conservation. The survey asked U.S. respondents about the money they would spend, or have spent, growing monarch-friendly plants, and the amount they would donate to monarch conservation organizations. Combining planting payments and donations, the survey indicated U.S. households valued monarchs as a total one-time payment of $4.78-$6.64 billion, levels similar to many endangered vertebrate species. The financial contribution of even a small percentage of households through purchases or donations could generate new funding for monarch conservation through market-based approaches. © 2013 The Authors. Conservation Letters published by Wiley Periodicals, Inc.",Conservation planning; Contingent valuation; Danaus plexippus; Ecosystem services; Migration; Monarch; Willingness to pay,
"Eagles-Smith C.A., Ackerman J.T., Willacker J.J., Tate M.T., Lutz M.A., Fleck J.A., Stewart A.R., Wiener J.G., Evers D.C., Lepak J.M., Davis J.A., Pritz C.F.",Spatial and temporal patterns of mercury concentrations in freshwater fish across the Western United States and Canada,2016,Science of the Total Environment,568,,,1171,1184,94,10.1016/j.scitotenv.2016.03.229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989910178&doi=10.1016%2fj.scitotenv.2016.03.229&partnerID=40&md5=e4d7fe32c93065810c6b534660273164,"Methylmercury contamination of fish is a global threat to environmental health. Mercury (Hg) monitoring programs are valuable for generating data that can be compiled for spatially broad syntheses to identify emergent ecosystem properties that influence fish Hg bioaccumulation. Fish total Hg (THg) concentrations were evaluated across the Western United States (US) and Canada, a region defined by extreme gradients in habitat structure and water management. A database was compiled with THg concentrations in 96,310 fish that comprised 206 species from 4262 locations, and used to evaluate the spatial distribution of fish THg across the region and effects of species, foraging guilds, habitats, and ecoregions. Areas of elevated THg exposure were identified by developing a relativized estimate of fish mercury concentrations at a watershed scale that accounted for the variability associated with fish species, fish size, and site effects. THg concentrations in fish muscle ranged between 0.001 and 28.4 (?g/g wet weight (ww)) with a geometric mean of 0.17. Overall, 30% of individual fish samples and 17% of means by location exceeded the 0.30 ?g/g ww US EPA fish tissue criterion. Fish THg concentrations differed among habitat types, with riverine habitats consistently higher than lacustrine habitats. Importantly, fish THg concentrations were not correlated with sediment THg concentrations at a watershed scale, but were weakly correlated with sediment MeHg concentrations, suggesting that factors influencing MeHg production may be more important than inorganic Hg loading for determining fish MeHg exposure. There was large heterogeneity in fish THg concentrations across the landscape; THg concentrations were generally higher in semi-arid and arid regions such as the Great Basin and Desert Southwest, than in temperate forests. Results suggest that fish mercury exposure is widespread throughout Western US and Canada, and that species, habitat type, and region play an important role in influencing ecological risk of mercury in aquatic ecosystems. © 2015",Bioaccumulation; Guild; Habitat; Hotspot; Landscape; Methylmercury,"Aquatic ecosystems; Bioaccumulation; Biochemistry; Ecology; Ecosystems; Environmental Protection Agency; Health risks; Mercury (metal); Water management; Watersheds; Guild; Habitat; Hot spot; Landscape; Methyl mercury; Fish; mercury; fresh water; mercury; methylmercury derivative; bioaccumulation; concentration (composition); fish; habitat structure; landscape; mercury (element); methylmercury; water management; animal tissue; Article; Canada; comparative study; concentration response; controlled study; feeding; foraging guild; freshwater fish; habitat; habitat structure; landscape; muscle; nonhuman; priority journal; sediment; taxonomy; temperate deciduous forest; United States; water management; watershed; animal; ecosystem; environmental exposure; environmental monitoring; fish; metabolism; water pollutant; Canada; United States; Animals; Canada; Ecosystem; Environmental Exposure; Environmental Monitoring; Fishes; Fresh Water; Mercury; Methylmercury Compounds; United States; Water Pollutants, Chemical"
"Eagles-Smith C.A., Wiener J.G., Eckley C.S., Willacker J.J., Evers D.C., Marvin-DiPasquale M., Obrist D., Fleck J.A., Aiken G.R., Lepak J.M., Jackson A.K., Webster J.P., Stewart A.R., Davis J.A., Alpers C.N., Ackerman J.T.","Mercury in western North America: A synthesis of environmental contamination, fluxes, bioaccumulation, and risk to fish and wildlife",2016,Science of the Total Environment,568,,,1213,1226,95,10.1016/j.scitotenv.2016.05.094,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989791987&doi=10.1016%2fj.scitotenv.2016.05.094&partnerID=40&md5=fc7f60969339b544838d074aa35b3f86,"Western North America is a region defined by extreme gradients in geomorphology and climate, which support a diverse array of ecological communities and natural resources. The region also has extreme gradients in mercury (Hg) contamination due to a broad distribution of inorganic Hg sources. These diverse Hg sources and a varied landscape create a unique and complex mosaic of ecological risk from Hg impairment associated with differential methylmercury (MeHg) production and bioaccumulation. Understanding the landscape-scale variation in the magnitude and relative importance of processes associated with Hg transport, methylation, and MeHg bioaccumulation requires a multidisciplinary synthesis that transcends small-scale variability. The Western North America Mercury Synthesis compiled, analyzed, and interpreted spatial and temporal patterns and drivers of Hg and MeHg in air, soil, vegetation, sediments, fish, and wildlife across western North America. This collaboration evaluated the potential risk from Hg to fish, and wildlife health, human exposure, and examined resource management activities that influenced the risk of Hg contamination. This paper integrates the key information presented across the individual papers that comprise the synthesis. The compiled information indicates that Hg contamination is widespread, but heterogeneous, across western North America. The storage and transport of inorganic Hg across landscape gradients are largely regulated by climate and land-cover factors such as plant productivity and precipitation. Importantly, there was a striking lack of concordance between pools and sources of inorganic Hg, and MeHg in aquatic food webs. Additionally, water management had a widespread influence on MeHg bioaccumulation in aquatic ecosystems, whereas mining impacts where relatively localized. These results highlight the decoupling of inorganic Hg sources with MeHg production and bioaccumulation. Together the findings indicate that developing efforts to control MeHg production in the West may be particularly beneficial for reducing food web exposure instead of efforts to simply control inorganic Hg sources. © 2016",Atmospheric deposition; Bigeochemistry; Bioaccumulation; Birds; Landscape; Legacy mining; Methylmercury exposure; Risk,Alkylation; Animals; Aquatic ecosystems; Biochemistry; Birds; Contamination; Ecology; Ecosystems; Fish; Health risks; Human resource management; Mercury (metal); Meteorological problems; Plants (botany); Risks; Water management; Atmospheric depositions; Bigeochemistry; Environmental contamination; Landscape; Methyl mercury; Resource management; Small scale variability; Spatial and temporal patterns; Bioaccumulation; methylmercury; mercury; methylmercury derivative; atmospheric deposition; bioaccumulation; biogeochemistry; bird; fish; mercury (element); mining; pollution exposure; risk assessment; air pollution; Article; bioaccumulation; biogeochemistry; environmental exposure; environmental stress; fish; food web; habitat use; health hazard; human; land use; mining; nonhuman; North America; pollution transport; precipitation; priority journal; risk factor; soil pollution; water management; wildlife; analysis; animal; Canada; environmental monitoring; metabolism; Mexico; pollutant; United States; vertebrate; North America; Aves; Animals; Canada; Environmental Monitoring; Environmental Pollutants; Fishes; Mercury; Methylmercury Compounds; Mexico; United States; Vertebrates
"Eckley C.S., Eagles-Smith C., Tate M.T., Krabbenhoft D.P.",Surface-air mercury fluxes and a watershed mass balance in forested and harvested catchments,2021,Environmental Pollution,277,,116869,,,2,10.1016/j.envpol.2021.116869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102606698&doi=10.1016%2fj.envpol.2021.116869&partnerID=40&md5=05c854400081c7337362f7abd6f2ad8e,"Forest soils are among the world's largest repositories for long-term accumulation of atmospherically deposited mercury (Hg), and understanding the potential for remobilization through gaseous emissions, aqueous dissolution and runoff, or erosive particulate transport to down-gradient aquatic ecosystems is critically important for projecting ecosystem recovery. Forestry operations, especially clear-cut logging where most of the vegetaiton is removed, can influence Hg mobility/fluxes, foodweb dynamics, and bioaccumulation processes. This paper measured surface-air Hg fluxes from catchments in the Pacific Northwest, USA, to determine if there is a difference between forested and logged catchments. These measurements were conducted as part of a larger project on the impact of forestry operations on Hg cycling which include measurements of water fluxes as well as impacts on biota. Surface-air Hg fluxes were measured using a commonly applied dynamic flux chamber (DFC) method that incorporated diel and seasonal variability in elemental Hg (Hg0) fluxes at multiple forested and harvested catchments. The results showed that the forested ecosystem had depositional Hg0 fluxes throughout most of the year (annual mean: ?0.26 ng/m2/h). In contrast, the harvested catchments showed mostly emission of Hg0 (annual mean: 0.63 ng/m2/h). Differences in solar radiation reaching the soil was the primary driver resulting in a shift from net deposition to emission in harvested catchments. The surface-air Hg fluxes were larger than the fluxes to water as runoff and accounted for 97% of the differences in Hg sequestered in forested versus harvested catchments. © 2021",Forestry; Mercury; Runoff; Surface-air flux,Aquatic ecosystems; Biochemistry; Catchments; Deposition; Forestry; Harvesting; Mercury (metal); Soils; Annual mean; Forest soils; Forestry operations; Hg flux; Mass balance; Mercuries (Hg); Mercury; Mercury fluxes; Remobilization; Surface-air flux; Runoff; mercury; mercury; atmospheric deposition; catchment; environmental impact; forestry; mass balance; mercury (element); runoff; water flux; watershed; air pollution control; air quality; ambient air; Article; bioaccumulation; biota; catchment area (hydrology); concentration (parameter); controlled study; ecosystem; environmental impact; forestry; harvesting; human; land use; logging; recycling; seasonal variation; soil property; solar radiation; surface runoff; United States; watershed; environmental monitoring; forest; soil pollutant; Pacific Northwest; Ecosystem; Environmental Monitoring; Forests; Mercury; Northwestern United States; Soil Pollutants
"Eckley C.S., Tate M.T., Lin C.-J., Gustin M., Dent S., Eagles-Smith C., Lutz M.A., Wickland K.P., Wang B., Gray J.E., Edwards G.C., Krabbenhoft D.P., Smith D.B.",Surface-air mercury fluxes across Western North America: A synthesis of spatial trends and controlling variables,2016,Science of the Total Environment,568,,,651,665,29,10.1016/j.scitotenv.2016.02.121,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975705112&doi=10.1016%2fj.scitotenv.2016.02.121&partnerID=40&md5=c9e4038690026b4d6cd5342cc4581073,"Mercury (Hg) emission and deposition can occur to and from soils, and are an important component of the global atmospheric Hg budget. This paper focuses on synthesizing existing surface-air Hg flux data collected throughout the Western North American region and is part of a series of geographically focused Hg synthesis projects. A database of existing Hg flux data collected using the dynamic flux chamber (DFC) approach from almost a thousand locations was created for the Western North America region. Statistical analysis was performed on the data to identify the important variables controlling Hg fluxes and to allow spatiotemporal scaling. The results indicated that most of the variability in soil-air Hg fluxes could be explained by variations in soil-Hg concentrations, solar radiation, and soil moisture. This analysis also identified that variations in DFC methodological approaches were detectable among the field studies, with the chamber material and sampling flushing flow rate influencing the magnitude of calculated emissions. The spatiotemporal scaling of soil-air Hg fluxes identified that the largest emissions occurred from irrigated agricultural landscapes in California. Vegetation was shown to have a large impact on surface-air Hg fluxes due to both a reduction in solar radiation reaching the soil as well as from direct uptake of Hg in foliage. Despite high soil Hg emissions from some forested and other heavily vegetated regions, the net ecosystem flux (soil flux + vegetation uptake) was low. Conversely, sparsely vegetated regions showed larger net ecosystem emissions, which were similar in magnitude to atmospheric Hg deposition (except for the Mediterranean California region where soil emissions were higher). The net ecosystem flux results highlight the important role of landscape characteristics in effecting the balance between Hg sequestration and (re-)emission to the atmosphere. © 2016",Deposition; Dynamic flux chamber; Emission; Mercury; Western North America,Budget control; Deposition; Ecology; Ecosystems; Mercury (metal); Neutron emission; Soil moisture; Soils; Solar radiation; Vegetation; Agricultural landscapes; Dynamic flux chamber; Ecosystem fluxes; Hg concentrations; Impact on surfaces; Landscape characteristic; Methodological approach; Western North America; Soil pollution; mercury; atmospheric deposition; flux chamber; mercury (element); soil emission; spatial analysis; trend analysis; agricultural land; air pollutant; Article; atmospheric deposition; atmospheric dispersion; California; ecosystem; flow rate; foliage; North America; pollution transport; priority journal; soil moisture; soil pollutant; solar radiation; spatiotemporal analysis; statistical analysis; vegetation; California; United States
"Elahi R., Edmunds P.J., Gates R.D., Kuffner I.B., Barnes B.B., Chollett I., Courtney T.A., Guest J.R., Lenz E.A., Toth L.T., Viehman T.S., Williams I.D.",Scale dependence of coral reef oases and their environmental correlates,2022,Ecological Applications,32,7,e2651,,,2,10.1002/eap.2651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131908871&doi=10.1002%2feap.2651&partnerID=40&md5=2748274b0b00f7418b319acf0ba7162d,"Identifying relatively intact areas within ecosystems and determining the conditions favoring their existence is necessary for effective management in the context of widespread environmental degradation. In this study, we used 3766 surveys of randomly selected sites in the United States and U.S. Territories to identify the correlates of sites categorized as “oases” (defined as sites with relatively high total coral cover). We used occupancy models to evaluate the influence of 10 environmental predictors on the probability that an area (21.2-km2 cell) would harbor coral oases defined at four spatial extents: cross-basin, basin, region, and subregion. Across all four spatial extents, oases were more likely to occur in habitats with high light attenuation. The influence of the other environmental predictors on the probability of oasis occurrence were less consistent and varied with the scale of observation. Oases were most likely in areas of low human population density, but this effect was evident only at the cross-basin and subregional extents. At the regional and subregional extents oases were more likely where sea-surface temperature was more variable, whereas at the larger spatial extents the opposite was true. By identifying the correlates of oasis occurrence, the model can inform the prioritization of reef areas for management. Areas with biophysical conditions that confer corals with physiological resilience, as well as limited human impacts, likely support coral reef oases across spatial extents. Our approach is widely applicable to the development of conservation strategies to protect biodiversity and ecosystems in an era of magnified human disturbance. © 2022 The Authors. Ecological Applications published by Wiley Periodicals LLC on behalf of The Ecological Society of America. This article has been contributed to by US Government employees and their work is in the public domain in the USA.",climate change; conservation; ecosystem; management; occupancy models; persistence; resilience,anthropogenic effect; biodiversity; climate change; conservation status; coral reef; ecological modeling; environmental degradation; harbor; marine ecosystem; persistence; strategic approach; United States; poly(divinyl-co-N-vinylpyrrolidinone); pyrrole derivative; vinyl derivative; animal; Anthozoa; biodiversity; coral reef; ecosystem; human; physiology; Animals; Anthozoa; Biodiversity; Coral Reefs; Ecosystem; Humans; Pyrroles; Vinyl Compounds
"Eldridge D.J., Reed S., Travers S.K., Bowker M.A., Maestre F.T., Ding J., Havrilla C., Rodriguez-Caballero E., Barger N., Weber B., Antoninka A., Belnap J., Chaudhary B., Faist A., Ferrenberg S., Huber-Sannwald E., Malam Issa O., Zhao Y.",The pervasive and multifaceted influence of biocrusts on water in the world's drylands,2020,Global Change Biology,26,10,,6003,6014,84,10.1111/gcb.15232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088790999&doi=10.1111%2fgcb.15232&partnerID=40&md5=fb1a9c78c000021a3e6b935e07295703,"The capture and use of water are critically important in drylands, which collectively constitute Earth's largest biome. Drylands will likely experience lower and more unreliable rainfall as climatic conditions change over the next century. Dryland soils support a rich community of microphytic organisms (biocrusts), which are critically important because they regulate the delivery and retention of water. Yet despite their hydrological significance, a global synthesis of their effects on hydrology is lacking. We synthesized 2,997 observations from 109 publications to explore how biocrusts affected five hydrological processes (times to ponding and runoff, early [sorptivity] and final [infiltration] stages of water flow into soil, and the rate or volume of runoff) and two hydrological outcomes (moisture storage, sediment production). We found that increasing biocrust cover reduced the time for water to pond on the surface (?40%) and commence runoff (?33%), and reduced infiltration (?34%) and sediment production (?68%). Greater biocrust cover had no significant effect on sorptivity or runoff rate/amount, but increased moisture storage (+14%). Infiltration declined most (?56%) at fine scales, and moisture storage was greatest (+36%) at large scales. Effects of biocrust type (cyanobacteria, lichen, moss, mixed), soil texture (sand, loam, clay), and climatic zone (arid, semiarid, dry subhumid) were nuanced. Our synthesis provides novel insights into the magnitude, processes, and contexts of biocrust effects in drylands. This information is critical to improve our capacity to manage dwindling dryland water supplies as Earth becomes hotter and drier. © 2020 John Wiley & Sons Ltd",biological soil crust; bryophyte; cryptogam; cyanobacteria; hydrological cycle; infiltration; lichen; sediment production; soil hydrology; soil moisture,arid region; bryophyte; cyanobacterium; hydrological cycle; infiltration; lichen; sediment; soil crust; soil moisture; Bryophyta; bryophytes; Cyanobacteria; water; climate change; ecosystem; microbiology; moss; soil; Bryophyta; Climate Change; Ecosystem; Soil; Soil Microbiology; Water
"Faist A.M., Antoninka A.J., Barger N.N., Bowker M.A., Chaudhary V.B., Havrilla C.A., Huber-Sannwald E., Reed S.C., Weber B.",Broader Impacts for Ecologists: Biological Soil Crust as a Model System for Education,2021,Frontiers in Microbiology,11,,577922,,,2,10.3389/fmicb.2020.577922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099658951&doi=10.3389%2ffmicb.2020.577922&partnerID=40&md5=e2cb2573a7943506983261f618e45ca3,"Biological soil crusts (biocrusts) are a complex community of algae, cyanobacteria, lichens, bryophytes, and assorted bacteria, fungi, archaea, and bacteriophages that colonize the soil surface. Biocrusts are particularly common in drylands and are found in arid and semiarid ecosystems worldwide. While diminutive in size, biocrusts often cover large terrestrial areas, provide numerous ecosystem benefits, enhance biodiversity, and are found in multiple configurations and assemblages across different climate and disturbance regimes. Biocrusts have been a focus of many ecologists, especially those working in semiarid and arid lands, as biocrusts are foundational community members, play fundamental roles in ecosystem processes, and offer rare opportunities to study biological interactions at small and large spatial scales. Due to these same characteristics, biocrusts have the potential to serve as an excellent teaching tool. The purpose of this paper is to demonstrate the utility of biocrust communities as a model system in science education. Functioning as portable, dynamic mini ecosystems, biocrusts can be used to teach about organisms, biodiversity, biotic interactions, abiotic controls, ecosystem processes, and even global change, and can be easy to use in nearly every classroom setup. For example, education principles, such as evolution and adaptation to stress, or structure and function (patterns and processes) can be applied by bringing biocrusts into the classroom as a teaching tool. In addition, discussing the utility of biocrusts in the classroom – including theory, hypothesis testing, experimentation, and hands-on learning – this document also provides tips and resources for developing education tools and activities geared toward impactful learning. © Copyright © 2021 Faist, Antoninka, Barger, Bowker, Chaudhary, Havrilla, Huber-Sannwald, Reed and Weber.",biocrust; classroom; ecology; evolution; patterns and processes; scale; succession,article; biodiversity; ecologist; ecology; ecosystem; global change; human; human experiment; learning; physiological stress; soil; structure activity relation; teaching
